country,users,purchases,conversion_pct
United States,118493,2481,2.094
India,25367,530,2.089
Canada,20268,466,2.299
United Kingdom,8527,177,2.076
France,5381,119,2.211
Spain,5044,131,2.597
Germany,4866,87,1.788
China,4620,101,2.186
Taiwan,4568,87,1.905
Italy,3750,60,1.6
Singapore,3597,72,2.002
Japan,3547,86,2.425
South Korea,3424,57,1.665
Netherlands,3042,70,2.301
Turkey,2733,76,2.781
Brazil,2696,60,2.226
Australia,2453,52,2.12
Indonesia,2408,32,1.329
Poland,2368,56,2.365
Mexico,2264,58,2.562
(not set),2168,37,1.707
Russia,1758,46,2.617
Hong Kong,1652,44,2.663
Ireland,1584,33,2.083
Sweden,1490,23,1.544
Malaysia,1430,33,2.308
Switzerland,1428,22,1.541
Philippines,1333,27,2.026
Colombia,1285,44,3.424
Israel,1262,22,1.743
